S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
2,ITQ20170001,ITQ,Office of International Relations and Diplomatic Affairs,Space planning and utilization optimization strategies.,2017-01-01,TrueView Management,16928
3,ITQ20170002,ITQ,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,2017-01-05,CleanHarbor Facility Care,14183
4,ITQ20170003,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2017-01-08,EverPrime Property Management,19908
5,ITQ20170004,ITQ,Department of Public Health and Disease Control,Waste management and recycling program implementation.,2017-01-12,UrbanTech Management,42332
6,ITQ20170005,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2017-01-12,GrandReach Facility Care,65341
7,ITQ20170006,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2017-01-13,GoldenHarbor Management,34956
8,ITQ20170007,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2017-01-17,TrueWave Facilities Management,39950
9,ITQ20170008,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,2017-01-18,CleanSweep Property Management,14944
10,ITQ20170009,ITQ,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,2017-01-19,SkyHigh Property Management,77708
11,ITQ20170010,ITQ,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2017-01-20,GrandView Facilities Group,92488
12,ITQ20170011,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,2017-01-23,EliteTech Property Support,21771
13,ITQ20170012,ITQ,National Institute of Scientific Advancement,Health and safety compliance management and training.,2017-01-23,SwiftGuard Management,90718
14,ITQ20170013,ITQ,National Commission for Space Exploration,Building automation and smart technology integration.,2017-01-23,HorizonPro Facility Management,91141
15,ITQ20170014,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,2017-01-26,InfiniteSpace Building Solutions,24266
16,ITQ20170015,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2017-01-26,AlphaCrest Property Support,64993
17,ITQ20170016,ITQ,Department of Advanced Technological Research,Fire safety system installation and maintenance.,2017-01-28,Xtreme Maintenance,13021
18,ITQ20170017,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2017-01-28,StarStone Facility Services,24044
19,ITQ20170018,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2017-01-28,UrbanTech Management,71829
20,ITQ20170019,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2017-01-28,UrbanGuard Facilities,83124
21,ITQ20170020,ITQ,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,2017-01-29,GoldenHarbor Management,69526
22,ITQ20170021,ITQ,National Cybersecurity Task Force,HVAC system maintenance and climate control optimization.,2017-01-29,InfiniteGuard Building Care,76633
23,ITQ20170022,ITQ,National Cybersecurity Task Force,Tenant communication and customer service assistance.,2017-01-29,SafeHaven Maintenance,96752
24,ITQ20170023,ITQ,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,2017-01-31,UrbanEagle Maintenance,85173
25,ITQ20170024,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2017-02-01,SilverTech Facilities Masters,18695
26,ITQ20170025,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2017-02-01,ApexGuard Facility Services,93099
27,ITQ20170026,ITQ,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2017-02-02,EverPro Property Support,21651
28,ITQ20170027,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2017-02-02,TruePro Building Experts,63707
29,ITQ20170028,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2017-02-04,ApexGuard Facility Services,73694
30,ITQ20170029,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2017-02-05,SafeReach Property Solutions,52649
31,ITQ20170030,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2017-02-06,BlueBreeze Facility Solutions,30328
32,ITQ20170031,ITQ,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,2017-02-07,GoldenGate Facility Masters,64547
33,ITQ20170032,ITQ,National Institute of Scientific Advancement,Building maintenance and repairs.,2017-02-07,Reliable Facility Services,84380
34,ITQ20170033,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2017-02-08,GreenPrime Facilities Group,54651
35,ITQ20170034,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2017-02-09,SkyHarbor Facility Experts,31191
36,ITQ20170035,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,2017-02-12,GrandView Facilities Group,90886
37,ITQ20170036,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2017-02-13,GoldenHarbor Management,37949
38,ITQ20170037,ITQ,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,2017-02-13,BlueCrest Facility Support,50501
