S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
1,ITQ20160157,ITQ,National Institute of Scientific Advancement,Parking management and traffic control solutions.,1/7/2016,SafeHaven Maintenance," $40,532.00 "
2,ITQ20170001,ITQ,Office of International Relations and Diplomatic Affairs,Space planning and utilization optimization strategies.,1/1/2017,TrueView Management," $16,928.00 "
3,ITQ20170002,ITQ,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,5/1/2017,CleanHarbor Facility Care," $14,183.00 "
4,ITQ20170003,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,8/1/2017,EverPrime Property Management," $19,908.00 "
5,ITQ20170004,ITQ,Department of Public Health and Disease Control,Waste management and recycling program implementation.,12/1/2017,UrbanTech Management," $42,332.00 "
6,ITQ20170005,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,12/1/2017,GrandReach Facility Care," $65,341.00 "
7,ITQ20170006,ITQ,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,13/1/2017,GoldenHarbor Management," $34,956.00 "
8,ITQ20170007,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,17/1/2017,TrueWave Facilities Management," $39,950.00 "
9,ITQ20170008,ITQ,Department of Advanced Technological Research,Waste management and recycling program implementation.,18/1/2017,CleanSweep Property Management," $14,944.00 "
10,ITQ20170009,ITQ,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,19/1/2017,SkyHigh Property Management," $77,708.00 "
11,ITQ20170010,ITQ,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,20/1/2017,GrandView Facilities Group," $92,488.00 "
12,ITQ20170011,ITQ,Ministry of Strategic Economic Planning,Building maintenance and repairs.,23/1/2017,EliteTech Property Support," $21,771.00 "
13,ITQ20170012,ITQ,National Institute of Scientific Advancement,Health and safety compliance management and training.,23/1/2017,SwiftGuard Management," $90,718.00 "
14,ITQ20170013,ITQ,National Commission for Space Exploration,Building automation and smart technology integration.,23/1/2017,HorizonPro Facility Management," $91,141.00 "
15,ITQ20170014,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,26/1/2017,InfiniteSpace Building Solutions," $24,266.00 "
16,ITQ20170015,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,26/1/2017,AlphaCrest Property Support," $64,993.00 "
17,ITQ20170016,ITQ,Department of Advanced Technological Research,Fire safety system installation and maintenance.,28/1/2017,Xtreme Maintenance," $13,021.00 "
18,ITQ20170017,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,28/1/2017,StarStone Facility Services," $24,044.00 "
19,ITQ20170018,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,28/1/2017,UrbanTech Management," $71,829.00 "
20,ITQ20170019,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,28/1/2017,UrbanGuard Facilities," $83,124.00 "
21,ITQ20170020,ITQ,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,29/1/2017,GoldenHarbor Management," $69,526.00 "
22,ITQ20170021,ITQ,National Cybersecurity Task Force,HVAC system maintenance and climate control optimization.,29/1/2017,InfiniteGuard Building Care," $76,633.00 "
23,ITQ20170022,ITQ,National Cybersecurity Task Force,Tenant communication and customer service assistance.,29/1/2017,SafeHaven Maintenance," $96,752.00 "
24,ITQ20170023,ITQ,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,31/1/2017,UrbanEagle Maintenance," $85,173.00 "
25,ITQ20170024,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,1/2/2017,SilverTech Facilities Masters," $18,695.00 "
26,ITQ20170025,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,1/2/2017,ApexGuard Facility Services," $93,099.00 "
27,ITQ20170026,ITQ,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2/2/2017,EverPro Property Support," $21,651.00 "
28,ITQ20170027,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2/2/2017,TruePro Building Experts," $63,707.00 "
29,ITQ20170028,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,4/2/2017,ApexGuard Facility Services," $73,694.00 "
30,ITQ20170029,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,5/2/2017,SafeReach Property Solutions," $52,649.00 "
31,ITQ20170030,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,6/2/2017,BlueBreeze Facility Solutions," $30,328.00 "
32,ITQ20170031,ITQ,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,7/2/2017,GoldenGate Facility Masters," $64,547.00 "
33,ITQ20170032,ITQ,National Institute of Scientific Advancement,Building maintenance and repairs.,7/2/2017,Reliable Facility Services," $84,380.00 "
34,ITQ20170033,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,8/2/2017,GreenPrime Facilities Group," $54,651.00 "
35,ITQ20170034,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,9/2/2017,SkyHarbor Facility Experts," $31,191.00 "
36,ITQ20170035,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,12/2/2017,GrandView Facilities Group," $90,886.00 "
37,ITQ20170036,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,13/2/2017,GoldenHarbor Management," $37,949.00 "
38,ITQ20170037,ITQ,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,13/2/2017,BlueCrest Facility Support," $50,501.00 "
39,ITQ20170038,ITQ,Department of Energy Conservation and Sustainability,Comprehensive janitorial services and cleanliness maintenance.,13/2/2017,AlphaPro Facility Solutions," $85,476.00 "
40,ITQ20170039,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,14/2/2017,UrbanGuard Facilities," $25,590.00 "
41,ITQ20170040,ITQ,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,15/2/2017,HighWave Building Solutions," $51,735.00 "
42,ITQ20170041,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,16/2/2017,SafeReach Property Solutions," $21,518.00 "
43,ITQ20170042,ITQ,National Institute of Scientific Advancement,Waste management and recycling program implementation.,16/2/2017,SafeReach Property Solutions," $26,542.00 "
44,ITQ20170043,ITQ,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,16/2/2017,TrustEdge Building Maintenance," $70,824.00 "
45,ITQ20170044,ITQ,Office of Public Safety and Emergency Management,Building automation and smart technology integration.,17/2/2017,UrbanTech Management," $38,923.00 "
46,ITQ20170045,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,18/2/2017,TrueWave Facilities Management," $42,921.00 "
47,ITQ20170046,ITQ,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,18/2/2017,BlueSky Property Care," $60,378.00 "
48,ITQ20170047,ITQ,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,20/2/2017,HighWave Building Solutions," $29,642.00 "
49,ITQ20170048,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,20/2/2017,EverPro Property Support," $50,862.00 "
50,ITQ20170049,ITQ,Department of Advanced Technological Research,Tenant communication and customer service assistance.,23/2/2017,InfiniteGuard Building Care," $53,512.00 "
51,ITQ20170050,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,24/2/2017,SkyStone Property Solutions," $44,666.00 "
52,ITQ20170051,ITQ,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,24/2/2017,GreenLine Building Experts," $79,643.00 "
53,ITQ20170052,ITQ,National Institute of Scientific Advancement,HVAC system maintenance and climate control optimization.,24/2/2017,TrustEdge Building Maintenance," $99,122.00 "
54,ITQ20170053,ITQ,Bureau of Urban Development and Infrastructure,Building maintenance and repairs.,26/2/2017,UrbanEdge Maintenance," $37,852.00 "
55,ITQ20170054,ITQ,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,26/2/2017,HorizonHarbor Property Services," $54,672.00 "
56,ITQ20170055,ITQ,Commission for Ethical Governance,24/7 security and access control management.,27/2/2017,SafeEdge Property Care," $29,652.00 "
57,ITQ20170056,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,1/3/2017,AlphaWave Property Solutions," $72,959.00 "
58,ITQ20170057,ITQ,Ministry of Strategic Economic Planning,Space planning and utilization optimization strategies.,2/3/2017,UrbanEagle Maintenance," $15,439.00 "
59,ITQ20170058,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,4/3/2017,Xtreme Maintenance," $28,596.00 "
60,ITQ20170059,ITQ,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,4/3/2017,InfiniteGuard Building Care," $30,995.00 "
61,ITQ20170060,ITQ,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,4/3/2017,InfiniteTech Building Solutions," $59,484.00 "
62,ITQ20170061,ITQ,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,6/3/2017,SkyHigh Property Management," $43,073.00 "
63,ITQ20170062,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,7/3/2017,SilverTech Facilities Masters," $56,470.00 "
64,ITQ20170063,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,7/3/2017,GrandPro Facilities Support," $82,694.00 "
65,ITQ20170064,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,8/3/2017,TrustEdge Building Maintenance," $45,078.00 "
66,ITQ20170065,ITQ,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,13/3/2017,GoldenReach Property Management," $36,434.00 "
67,ITQ20170066,ITQ,Department of Energy Conservation and Sustainability,24/7 security and access control management.,14/3/2017,SafeHarbor Facilities Group," $24,711.00 "
68,ITQ20170067,ITQ,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,14/3/2017,SafeReach Property Solutions," $70,369.00 "
69,ITQ20170068,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,14/3/2017,ApexGuard Facility Services," $84,952.00 "
70,ITQ20170069,ITQ,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,16/3/2017,SecureSpace Management," $12,958.00 "
71,ITQ20170070,ITQ,Bureau of Urban Development and Infrastructure,Indoor air quality monitoring and improvement measures.,17/3/2017,FreshEdge Facility Support," $26,548.00 "
72,ITQ20170071,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,17/3/2017,BlueSail Property Experts," $33,362.00 "
73,ITQ20170072,ITQ,Department of Energy Conservation and Sustainability,Comprehensive janitorial services and cleanliness maintenance.,17/3/2017,BlueSky Property Care," $33,975.00 "
74,ITQ20170073,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,19/3/2017,HorizonView Property Management," $94,015.00 "
75,ITQ20170074,ITQ,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,24/3/2017,SecureSpace Management," $80,204.00 "
76,ITQ20170075,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,24/3/2017,TrustPro Building Maintenance," $81,883.00 "
77,ITQ20170076,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,24/3/2017,StarHarbor Facilities Group," $82,627.00 "
78,ITQ20170077,ITQ,Department of Energy Conservation and Sustainability,Building automation and smart technology integration.,24/3/2017,Reliable Facility Services," $92,982.00 "
79,ITQ20170078,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,25/3/2017,TruePro Building Experts," $70,469.00 "
80,ITQ20170079,ITQ,National Commission for Space Exploration,24/7 security and access control management.,26/3/2017,SecureSpace Management," $54,705.00 "
81,ITQ20170080,ITQ,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,27/3/2017,SafeEdge Property Care," $29,722.00 "
82,ITQ20170081,ITQ,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,29/3/2017,SilverReach Facility Services," $65,441.00 "
83,ITQ20170082,ITQ,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,30/3/2017,GoldenReach Property Management," $13,204.00 "
84,ITQ20170083,ITQ,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,1/4/2017,UrbanEagle Maintenance," $10,386.00 "
85,ITQ20170084,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,1/4/2017,HorizonHarbor Property Services," $84,550.00 "
86,ITQ20170085,ITQ,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,2/4/2017,GreenWave Facilities Management," $28,450.00 "
87,ITQ20170086,ITQ,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,3/4/2017,AlphaStone Property Support," $58,015.00 "
88,ITQ20170087,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,4/4/2017,FreshEdge Facility Support," $16,921.00 "
89,ITQ20170088,ITQ,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,7/4/2017,TrustEdge Building Maintenance," $43,513.00 "
90,ITQ20170089,ITQ,National Cybersecurity Task Force,Cleaning supplies and consumables procurement and management.,7/4/2017,InfiniteSpace Building Solutions," $72,422.00 "
91,ITQ20170090,ITQ,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,12/4/2017,SwiftGuard Management," $18,843.00 "
92,ITQ20170091,ITQ,Bureau of Urban Development and Infrastructure,Pest control services for a pest-free environment.,12/4/2017,AlphaTech Facilities Management," $85,931.00 "
93,ITQ20170092,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,12/4/2017,MaxPro Building Services," $94,282.00 "
94,ITQ20170093,ITQ,National Commission for Space Exploration,Health and safety compliance management and training.,13/4/2017,TrueNorth Facility Solutions," $23,953.00 "
95,ITQ20170094,ITQ,Bureau of National Security and Intelligence,Building automation and smart technology integration.,13/4/2017,SecurePrime Management," $39,508.00 "
96,ITQ20170095,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,14/4/2017,SilverTech Facilities Masters," $67,589.00 "
97,ITQ20170096,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,15/4/2017,TrustPro Building Maintenance," $22,401.00 "
98,ITQ20170097,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,15/4/2017,FreshWave Property Support," $39,927.00 "
99,ITQ20170098,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,18/4/2017,SwiftReach Building Maintenance," $34,908.00 "
100,ITQ20170099,ITQ,Office of International Relations and Diplomatic Affairs,Cleaning supplies and consumables procurement and management.,21/4/2017,InfiniteSpace Building Solutions," $50,170.00 "
101,ITQ20170100,ITQ,Bureau of Urban Development and Infrastructure,Health and safety compliance management and training.,24/4/2017,UrbanEagle Maintenance," $54,640.00 "
102,ITQ20170101,ITQ,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,24/4/2017,UrbanGuard Facilities," $91,751.00 "
103,ITQ20170102,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,25/4/2017,ApexGuard Facility Services," $75,192.00 "
104,ITQ20170103,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,27/4/2017,InfiniteGuard Building Care," $85,034.00 "
105,ITQ20170104,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,27/4/2017,EverReach Property Care," $94,788.00 "
106,ITQ20170105,ITQ,Bureau of Urban Development and Infrastructure,Furniture and equipment maintenance and inventory tracking.,28/4/2017,SilverStone Management," $95,728.00 "
107,ITQ20170106,ITQ,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,30/4/2017,BlueCrest Facility Support," $15,708.00 "
108,ITQ20170107,ITQ,Commission for Ethical Governance,Building maintenance and repairs.,30/4/2017,UrbanEdge Maintenance," $32,318.00 "
109,ITQ20170108,ITQ,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,1/5/2017,SkyHarbor Facility Experts," $30,554.00 "
110,ITQ20170109,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,1/5/2017,GreenWave Facilities Management," $76,284.00 "
111,ITQ20170110,ITQ,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,1/5/2017,FreshEdge Facility Support," $98,981.00 "
112,ITQ20170111,ITQ,National Commission for Space Exploration,Building maintenance and repairs.,2/5/2017,SecureSpace Management," $57,464.00 "
113,ITQ20170112,ITQ,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,2/5/2017,EliteEdge Facilities Group," $57,501.00 "
114,ITQ20170113,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,4/5/2017,GreenWave Facilities Management," $57,802.00 "
115,ITQ20170114,ITQ,National Commission for Space Exploration,Comprehensive janitorial services and cleanliness maintenance.,6/5/2017,HorizonHarbor Property Services," $38,479.00 "
116,ITQ20170115,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,7/5/2017,GreenEdge Facility Masters," $64,885.00 "
117,ITQ20170116,ITQ,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,8/5/2017,SafeHarbor Facilities Group," $9,509.00 "
118,ITQ20170117,ITQ,Department of Energy Conservation and Sustainability,Health and safety compliance management and training.,9/5/2017,InfiniteCare Property Services," $61,508.00 "
119,ITQ20170118,ITQ,National Institute of Scientific Advancement,Cleaning supplies and consumables procurement and management.,10/5/2017,InfiniteSpace Building Solutions," $35,656.00 "
